,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
112,#113 102.1000@7.7074 MS1+,1,+,7.707399999999999,110647.90590050498,2695.408209440892,102.0999984741211,,,0.00016188818439344388,73.0999984741211,,,,7.6699,26767.55313811673,102.0,7.6635,27687.632453990485,102.0,,,,,,,7.663666666666667,16802.712046508925,102.0,,,,7.682316666666667,17143.245083553902,102.0,,,,7.675933333333333,21730.950406300908,102.0,7.675983333333333,27552.0,102.0999984741211,7.682416666666667,35081.455041533445,102.0,7.682283333333333,34047.29325794378,102.0,,,,,,,7.682366666666667,40068.504429878085,102.0999984741211,7.675983333333333,34659.556161196306,102.0,,,,,,,7.682266666666667,16250.072588452376,102.0,7.7199,30017.39423364792,102.0,7.713533333333333,49569.527453940726,102.0999984741211,7.71365,69344.70649417517,102.0999984741211,7.713633333333333,125803.10552996807,102.0999984741211,7.719883333333334,121498.0475819488,102.0999984741211,7.725983333333334,115778.01232066251,102.0999984741211,7.725983333333334,77856.95954824459,102.0999984741211,7.719766666666667,92359.89770186484,102.0999984741211,7.713583333333333,130288.08322085,102.0999984741211,7.713616666666667,80608.0,102.0999984741211,7.719716666666667,22099.01571013263,102.0,,,,7.71355,48596.71911501689,102.0,7.7261,42946.76977828207,102.0,7.7197,277310.7583852881,102.0999984741211,7.70735,47697.94057161616,102.0999984741211,7.713616666666667,115258.24102199676,102.0999984741211,7.7198,86058.75521565336,102.0999984741211,7.707283333333334,90291.63583339004,102.0999984741211,7.713583333333333,40187.614633540776,102.0999984741211,7.7135,39029.75591340054,102.0,7.738649999999999,18695.853146608104,102.0999984741211,7.707399999999999,110647.90590050498,102.0999984741211,7.726183333333333,59434.01757186021,102.0999984741211,7.707466666666667,48213.39840177091,102.0,,,,7.7261,54116.7579520335,102.0999984741211,,,,7.732416666666666,116469.54081123356,102.0999984741211,7.71985,81255.70341855804,102.0999984741211,7.732283333333333,33144.0,102.0,7.7323,51795.89171416548,102.0999984741211,7.744966666666666,99740.39840689412,102.0999984741211,7.719716666666667,34962.29041256964,102.0999984741211,,,,,,,,,,7.7197,74461.95622975874,102.0999984741211,,,,7.72615,47365.09795992241,102.0999984741211,,,,7.701016666666667,103136.0,102.0,,,,,,,7.713483333333333,87272.0,102.0,7.70725,38074.415589324,102.0999984741211,,,,7.69495,41032.309608594944,102.0,7.707283333333334,201032.200743134,102.0,7.682383333333333,132924.34400159898,102.0,,,,7.67605,32129.19839620287,102.0,7.694966666666667,32068.236720246023,102.0,7.713483333333333,42735.508431990354,102.0,7.7136,102368.0,102.0,,,,,,,,,,,,,7.713633333333333,38427.29523237405,102.0999984741211,0.07286273383295759
288,#289 73.1000@27.2865 MS1+,1,+,27.28653333333333,7528.215965283467,232.2640659513249,73.0999984741211,,,0.0015385621501156,73.0999984741211,,,,27.28653333333333,7528.215965283467,73.0999984741211,,,,,,,,,,27.286566666666666,7427.764998478335,73.0999984741211,27.29273333333333,13994.423603003495,73.0999984741211,27.2927,12183.75718464455,73.0999984741211,,,,27.30508333333333,7986.908436676065,73.0999984741211,27.30513333333333,12326.99466630441,73.0999984741211,27.311566666666668,9578.751365833989,73.0999984741211,27.30518333333333,12870.447306282338,73.0999984741211,,,,,,,27.317766666666667,9995.842785563887,73.0999984741211,27.31138333333333,14457.122119557462,73.0999984741211,27.30513333333333,10680.500934629992,73.0999984741211,,,,27.29265,12562.501601733238,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2927,9165.187194467811,73.0999984741211,,,,,,,,,,,,,27.2926,11246.517899591185,73.0999984741211,,,,,,,27.286516666666667,10452.062222813052,73.0999984741211,,,,,,,,,,27.280316666666668,11751.067701975262,73.0999984741211,,,,,,,,,,,,,,,,27.28005,12162.386624684295,73.0999984741211,,,,27.2927,12575.136048202286,73.0999984741211,,,,27.286283333333333,11443.036909614428,73.0999984741211,,,,,,,,,,,,,,,,,,,27.280083333333334,9392.106684355223,73.0999984741211,,,,27.286516666666667,10855.367308014143,73.0999984741211,27.2803,10204.531405215705,73.0999984741211,,,,27.2865,10362.78611078579,73.0999984741211,27.28023333333333,7475.939456132008,73.0999984741211,,,,27.280316666666668,9000.71677333556,73.0999984741211,,,,27.30521666666667,7238.966275480023,73.0999984741211,,,,,,,,,,,,,,,,0.10092535751589754
224,#225 77.0000@15.3513 MS1+,1,+,15.351333333333333,40514.842967264936,43.47566960071399,77.0,,,0.4567003507603243,107.0999984741211,,,,15.38895,149449.2123096668,77.0,,,,15.351333333333333,40514.842967264936,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3201,23992.52429873892,77.0999984741211,,,,15.345116666666666,77977.62061289808,77.0999984741211,15.33885,15997.50133039034,77.0999984741211,15.307566666666666,24247.81729956012,77.0999984741211,15.307416666666668,19968.068780108995,77.0,15.319916666666666,46520.69858537929,77.0999984741211,15.319966666666666,29343.243887904857,77.0999984741211,,,,15.3576,8711.25557036206,77.0999984741211,,,,,,,,,,,,,15.344916666666666,28849.685974207125,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.376466666666667,50660.369016234064,77.0,,,,,,,,,,,,,,,,15.401283333333334,62299.442951363046,77.0,,,,,,,15.401216666666668,103208.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,15.38895,245176.71934530645,77.0,,,,,,,15.376266666666668,138564.06686486024,77.0,,,,15.36395,68684.83392433799,77.0,,,,,,,,,,,,,,,,,,,,,,15.32635,19436.17622869766,77.0,,,,,,,,,,,,,0.13538961328175708
84,#85 73.1000@13.1496 MS1+,1,+,13.149583333333334,49934.65920181846,1363.4992668102857,73.0999984741211,,,0.2113637793338043,73.0999984741211,,,,,,,13.1619,124178.79214330357,73.0999984741211,,,,,,,,,,13.162,80187.50774249967,73.0999984741211,,,,13.19335,1040443.4682780532,156.10000610351562,,,,,,,,,,,,,13.130733333333334,84137.18715402478,73.0999984741211,,,,,,,,,,,,,13.168133333333332,68432.78332722379,73.0999984741211,,,,,,,,,,13.155766666666668,334214.16603026283,156.10000610351562,,,,,,,13.143083333333331,82037.66652542399,156.10000610351562,,,,13.143116666666666,279583.7448882213,156.10000610351562,13.16195,448937.3832075113,156.10000610351562,13.155733333333334,136275.76688455528,156.10000610351562,13.11805,115792.0,156.10000610351562,13.149466666666669,311543.06784351385,156.10000610351562,,,,,,,13.168066666666666,76442.45411110978,73.0999984741211,13.155716666666669,61124.22465190757,156.10000610351562,,,,13.149399999999998,53482.16592689336,73.0999984741211,,,,,,,13.13685,22754.595753397152,73.0999984741211,,,,13.174533333333333,18805.154908205262,73.0999984741211,13.16205,35700.31254492409,73.0999984741211,13.149583333333334,49934.65920181846,73.0999984741211,13.168316666666666,180915.56102782828,156.10000610351562,13.14945,86510.27959531953,73.0999984741211,,,,13.162016666666666,39004.486521984334,73.0999984741211,13.1557,95120.0455926964,156.10000610351562,,,,13.1619,18409.621504049224,73.0999984741211,13.162066666666666,41534.089785054384,73.0999984741211,13.155566666666669,43508.8757938653,73.0999984741211,13.168133333333332,38112.13013689505,73.0999984741211,13.155716666666669,59941.49270125711,73.0999984741211,,,,,,,13.168283333333331,381660.7470842349,156.10000610351562,13.1495,170041.2741676572,156.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.143283333333333,42729.73728604722,73.0999984741211,,,,,,,,,,0.21906058221107141
211,#212 73.1000@5.8120 MS1+,1,+,5.811983333333333,49981.59869704113,1325.3634848939014,73.0999984741211,,,0.0022000140342336,73.0999984741211,,,,,,,5.8432,16574.70764682293,117.0999984741211,5.793233333333333,56024.10031162918,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79325,37832.73875951924,73.0999984741211,,,,,,,5.849383333333333,30967.116652415803,73.0999984741211,,,,5.830733333333334,53167.00471727457,73.0999984741211,5.786983333333334,37484.10785927775,73.0999984741211,,,,5.799483333333334,57891.24954295566,73.0999984741211,5.8056833333333335,46911.10962395219,73.0999984741211,,,,5.83685,53464.26481436461,73.0999984741211,,,,5.837033333333333,47142.19739427205,73.0999984741211,5.830699999999999,32530.55469602824,73.0999984741211,5.805666666666666,48871.02520148264,73.0999984741211,5.811983333333333,49981.59869704113,73.0999984741211,,,,,,,,,,5.7933,39348.48616475071,73.0999984741211,5.8246166666666666,54023.01617969648,73.0999984741211,,,,,,,,,,,,,5.837,38649.88535679621,73.0999984741211,5.855683333333333,54612.32760383526,73.0999984741211,,,,,,,5.849366666666667,36539.84230986482,73.0999984741211,,,,,,,5.8119,29871.2079056215,73.0999984741211,5.818083333333333,43546.33803127718,73.0999984741211,,,,,,,,,,5.79315,45707.51500105101,73.0999984741211,5.805816666666667,57063.10420812784,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23384348147352313
236,#237 75.0000@6.1998 MS1+,1,+,6.19975,23296.80643489858,863.8697650917271,75.0,,,0.0126341909060789,73.0999984741211,,,,,,,,,,6.149783333333334,12606.361267734988,75.0,,,,,,,,,,,,,,,,,,,,,,6.193666666666667,16235.157643299382,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,6.218616666666667,20898.777740997684,75.0,6.19975,23296.80643489858,75.0,6.193616666666666,32347.49997239144,73.0999984741211,6.156066666666667,34769.80586514794,75.0,6.2061,38202.43613529943,73.0999984741211,6.237216666666667,36418.56101493955,73.0999984741211,6.237216666666667,35140.89001725883,73.0999984741211,6.22475,38759.96401459488,73.0999984741211,6.181033333333334,18465.8169882387,75.0,6.1498,16923.44915526185,73.0999984741211,6.212183333333333,19637.351871528797,75.0,6.16855,24429.32657481631,75.0,6.162233333333333,26865.18720196237,75.0,6.212316666666666,22652.666728957643,75.0,6.18715,23884.87141161131,75.0,,,,6.187333333333333,19449.97959920595,75.0,6.18725,20228.28783136868,75.0,6.174733333333333,17633.85659522099,75.0,6.174783333333333,36687.85153012702,75.0,,,,,,,,,,,,,6.187433333333333,15841.0,103.0999984741211,,,,,,,,,,6.24365,14235.678390421002,75.0,6.1998,20064.177635885037,103.0999984741211,,,,,,,6.206166666666666,61769.29430350053,73.0999984741211,6.199666666666666,12686.0,103.0999984741211,,,,,,,6.187216666666667,24824.0,103.0999984741211,6.18715,18805.462905783497,103.0999984741211,,,,6.231133333333333,13893.67103805786,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.206116666666666,146796.47704237685,73.0999984741211,6.218633333333333,99890.00205993008,73.0999984741211,6.193533333333333,99441.66119585853,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,0.25681525705216746
13,#14 73.1000@17.3218 MS1+,1,+,17.321766666666665,1051867.0658142285,19747.298944063143,73.0999984741211,,,0.2417735327483609,73.0999984741211,,,,,,,,,,17.321766666666665,1051867.0658142285,73.0999984741211,,,,,,,,,,,,,,,,17.334133333333334,1542832.0097763145,73.0999984741211,17.327916666666667,2015637.27070738,73.0999984741211,,,,,,,,,,,,,,,,17.327916666666667,412163.4236077762,73.0999984741211,,,,,,,,,,,,,,,,17.365583333333333,1167968.4173631405,319.20001220703125,,,,17.35931666666667,549603.4808109575,147.10000610351562,17.346633333333333,1340533.8438175677,73.0999984741211,17.3654,781699.6557742842,319.20001220703125,,,,,,,,,,,,,,,,,,,,,,17.309083333333334,1683353.172868841,319.20001220703125,,,,,,,17.3217,404649.6845352165,73.0999984741211,17.352966666666667,1149326.8676713342,73.0999984741211,,,,,,,17.309266666666666,1029569.0355179216,73.0999984741211,,,,,,,,,,,,,17.309233333333335,991734.3084655022,73.0999984741211,,,,,,,,,,,,,,,,17.303066666666666,195966.7814460192,73.0999984741211,,,,,,,,,,,,,17.315333333333335,821316.627182473,73.0999984741211,17.32806666666667,388038.0560773682,73.0999984741211,17.309283333333333,1682064.0516257207,73.0999984741211,17.290583333333334,3137480.896362299,73.0999984741211,17.371716666666668,1238445.199979473,73.0999984741211,,,,17.277816666666663,3399379.0863797367,73.0999984741211,17.34665,2733669.743765313,73.0999984741211,,,,,,,,,,,,,17.290516666666665,3804634.7232328095,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2846309272581768
195,#196 129.1000@23.2642 MS1+,1,+,23.264216666666663,13381.424836830369,730.9520393680734,129.10000610351562,,,0.1203238130741602,129.10000610351562,23.270616666666665,6958.683901323071,73.0999984741211,23.264366666666668,6810.474048107153,73.0999984741211,23.276733333333333,5305.026822376603,73.0999984741211,23.2768,6938.665271460166,73.0999984741211,23.2642,3953.8809337883104,73.0999984741211,23.2644,5495.440909688747,73.0999984741211,23.264316666666662,8512.809689908674,73.0999984741211,23.26428333333333,7404.600583934232,73.0999984741211,23.28315,10300.222932209172,73.0999984741211,23.276666666666667,7980.776404332879,73.0999984741211,23.270466666666668,7038.755932893851,73.0999984741211,23.2769,7979.106653112496,73.0999984741211,23.276766666666667,8646.246640147172,129.10000610351562,23.264333333333333,7821.695157349182,73.0999984741211,23.30185,2624.904236164428,73.0,23.2831,10343.5352729761,73.0999984741211,23.2767,11084.811545631128,73.0999984741211,23.276716666666665,9820.701932834643,73.0999984741211,23.2767,10305.954105614226,73.0999984741211,23.264233333333333,10182.289597525458,73.0999984741211,23.251816666666667,11026.628492176753,129.10000610351562,23.24545,15851.580055930826,73.0999984741211,23.264333333333333,12463.457127701024,129.10000610351562,23.251816666666667,10405.067003303113,129.10000610351562,23.24555,14473.38009871784,73.0999984741211,23.245383333333333,14375.54179849611,129.10000610351562,23.2454,16112.27540980208,129.10000610351562,23.24543333333333,13849.168892952885,129.10000610351562,23.264266666666668,12989.006277532795,129.10000610351562,23.2643,10372.457235450624,129.10000610351562,23.2579,17958.032573291886,129.10000610351562,23.25178333333333,13817.566395383532,73.0999984741211,23.25796666666667,12906.522985073112,129.10000610351562,23.2455,12246.64901905044,73.0999984741211,23.27038333333333,15543.964364712068,73.0999984741211,23.26428333333333,15263.50232763245,73.0999984741211,23.264316666666662,15475.34579543995,129.10000610351562,23.25798333333333,12653.048721521714,73.0999984741211,23.251716666666667,14697.024450330971,129.10000610351562,23.251766666666665,15815.522780331556,129.10000610351562,23.270433333333333,8630.925175218197,129.10000610351562,23.2518,7752.75590456405,129.10000610351562,23.2831,6598.486989271934,129.10000610351562,23.264366666666668,9925.032641192236,129.10000610351562,23.2519,6511.610399355157,129.10000610351562,23.25186666666667,8628.66159926504,129.10000610351562,23.251766666666665,8940.76701467461,129.10000610351562,23.2519,11769.42113673867,129.10000610351562,23.264333333333333,13980.995350657058,129.10000610351562,23.26428333333333,9964.598292387687,129.10000610351562,23.25793333333333,11218.779622575286,129.10000610351562,23.264216666666663,13381.424836830369,129.10000610351562,23.26438333333333,13625.495844105217,129.10000610351562,23.25163333333333,8723.985693040162,129.10000610351562,23.2767,15204.135965823456,129.10000610351562,23.2643,11633.88553006213,129.10000610351562,23.2642,6611.020446428627,129.10000610351562,23.264133333333334,8832.761929309358,129.10000610351562,23.2706,12961.032574003746,129.10000610351562,23.251816666666667,8863.410448961207,129.10000610351562,23.24563333333333,31622.30376157185,129.10000610351562,23.24545,38602.42409038065,129.10000610351562,23.264366666666668,53652.5936083643,129.10000610351562,23.245383333333333,38404.65267333535,129.10000610351562,23.2454,48326.49910426933,129.10000610351562,23.24543333333333,47263.33859370288,73.0999984741211,23.24558333333333,65971.14642118593,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2883272946499299
185,#186 73.1000@10.6975 MS1+,1,+,10.697466666666667,15240.330435805372,502.8447459866268,73.0999984741211,,,4.8756110260228525e-11,73.0999984741211,10.697466666666667,15240.330435805372,73.0999984741211,10.68495,16175.919673899944,73.0999984741211,10.697316666666667,6658.2084746439,73.0999984741211,10.691133333333331,19900.404640694826,73.0999984741211,10.684783333333334,18511.84053058605,73.0999984741211,10.684983333333332,19044.18519117705,73.0999984741211,10.6849,16977.678498908608,73.0999984741211,10.684866666666666,22760.301969780037,73.0999984741211,10.703733333333334,16170.232256283663,73.0999984741211,10.7035,14512.836987473953,73.0999984741211,10.6973,18494.08341465849,73.0999984741211,10.697483333333333,26368.59767986682,73.0999984741211,10.69735,16431.266663787643,184.1000061035156,10.684916666666668,29948.69013314148,73.0999984741211,,,,10.703683333333334,12301.396287210611,73.0999984741211,10.70355,14200.938086018068,73.0999984741211,10.6973,26579.746170204133,73.0999984741211,10.7098,15787.77476821957,184.0,10.691066666666666,20523.09142502764,73.0999984741211,10.684916666666668,46554.85558357623,184.0,10.6848,55725.07257669578,184.0,10.697433333333333,29546.262585402477,184.0,10.691166666666666,37870.89379703938,184.0,10.6849,56474.45525627116,184.0,10.678483333333334,65355.03907873584,184.0,10.68475,52644.56544472909,184.0,10.684783333333334,75717.28728173308,184.0,10.6911,32279.25824384483,184.0,10.6974,43970.46063912696,184.0,10.69725,60264.85023699488,184.0,10.684883333333334,70015.63071380052,184.0,10.691066666666666,50125.762158380094,184.0,10.68485,60178.62067184693,184.0,10.703483333333333,20682.309205328827,184.0,10.697383333333333,22867.328382412084,184.0,10.69115,45432.0,184.0,10.697333333333331,50805.14673647474,184.0,10.684816666666666,42051.14699297431,184.0,10.68485,72597.83379094151,184.0,10.703533333333333,13622.260166483316,184.0,10.6974,24816.0,184.1000061035156,,,,10.703716666666669,17245.49434211677,184.0,10.685,23997.599389405477,184.0,10.722483333333331,39078.13415789,184.0,10.691116666666666,40344.7630455156,184.0,10.703749999999998,40847.341476334674,184.0,10.697433333333333,22954.931190789765,184.0,10.691116666666666,27820.708096007595,184.0,10.697283333333331,35159.90656531953,184.0,10.6973,40574.43390490952,184.0,10.697466666666667,62632.46452016408,184.0,10.690983333333334,38613.3192215439,184.0,10.728566666666667,17823.897151494726,184.0,10.7099,25450.256870710284,184.0,10.6973,21681.896961223643,184.0,10.697216666666666,30600.349173337177,184.0,10.691183333333331,23706.1222852158,184.0,10.691166666666666,51106.45832486852,184.0,10.691233333333331,18453.26737501039,184.0,10.6848,37856.0,184.0,10.716233333333332,15067.611593125155,184.0,10.7035,23008.08301129579,184.0,,,,10.684783333333334,41027.67350991894,184.0,,,,10.684983333333332,34235.83255385078,184.0,10.697316666666667,19356.68591732206,73.0999984741211,10.684916666666668,17752.300564182762,184.0,,,,10.68485,22928.430361478717,184.0,10.69125,33206.44592754757,184.0,10.691016666666666,45377.48288854721,184.0,10.709883333333334,12251.014819874432,184.0,10.691166666666666,19091.660998304684,184.0,10.697466666666667,14497.236243294576,184.0,10.69745,15934.94927097366,184.0,,,,10.684916666666668,41284.30939716634,184.0,0.2905060620986978
190,#191 281.1000@5.7305 MS1+,1,+,5.730533333333333,27561.00051358421,572.158879532657,281.1000061035156,,,0.00022002083821637264,281.1000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.730716666666667,31662.721649265783,281.1000061035156,5.711833333333334,54805.42804417615,281.1000061035156,5.71195,149554.1589604208,281.1000061035156,,,,5.718183333333333,30726.672983303404,281.1000061035156,5.724283333333333,82429.89297791732,281.1000061035156,5.724283333333333,128308.63529101633,281.1000061035156,5.730583333333334,56332.56216058854,281.1000061035156,5.711883333333334,17577.244392157376,281.1000061035156,,,,5.730533333333333,27561.00051358421,281.1000061035156,,,,,,,,,,,,,,,,5.718183333333333,37920.2734503165,281.1000061035156,5.71185,72321.01446409756,281.1000061035156,,,,,,,,,,,,,,,,,,,,,,,,,5.743166666666666,60099.30600864592,281.1000061035156,5.712016666666667,16209.86265743761,73.0999984741211,,,,,,,5.736833333333333,119502.40603300308,281.1000061035156,5.755616666666667,15021.906742558089,73.0999984741211,,,,5.724266666666667,19949.93517649992,281.1000061035156,,,,,,,,,,,,,,,,5.755733333333334,48760.47071428684,281.1000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3085250250942272
