H1.CDF height,H2.CDF height,H21.CDF height,H22.CDF height,H23.CDF height,H24.CDF height,H25.CDF height,H3.CDF height,H31.CDF height,H32.CDF height,H33.CDF height,H34.CDF height,H35.CDF height,H4.CDF height,H41.CDF height,H42.CDF height,H43.CDF height,H44.CDF height,H45.CDF height,H5.CDF height,L1.CDF height,L2.CDF height,L21.CDF height,L22.CDF height,L23.CDF height,L24.CDF height,L25.CDF height,L3.CDF height,L31.CDF height,L32.CDF height,L33.CDF height,L34.CDF height,L35.CDF height,L4.CDF height,L41.CDF height,L42.CDF height,L43.CDF height,L44.CDF height,L45.CDF height,L5.CDF height,M1.CDF height,M2.CDF height,M21.CDF height,M22.CDF height,M23.CDF height,M24.CDF height,M25.CDF height,M3.CDF height,M31.CDF height,M32.CDF height,M33.CDF height,M34.CDF height,M35.CDF height,M4.CDF height,M41.CDF height,M42.CDF height,M43.CDF height,M44.CDF height,M45.CDF height,M5.CDF height,S1.CDF height,S2.CDF height,S21.CDF height,S22.CDF height,S23.CDF height,S24.CDF height,S25.CDF height,S3.CDF height,S31.CDF height,S32.CDF height,S33.CDF height,S34.CDF height,S35.CDF height,S4.CDF height,S41.CDF height,S42.CDF height,S43.CDF height,S44.CDF height,S45.CDF height,S5.CDF height
5221888,,1934635.164,5330432,4049123.139,4362232.547,5383168,5191680,5426688,4447575.125,4807168,5192192,5002240,3214897.89,,4666726.568,1982706.749,3959382.03,4354560,935657.7272,6272512,6180395.313,6289408,5893120,6016512,5857280,6084096,6137856,5961216,2433930.281,5846193.647,6239744,6009344,2003690.494,6133760,3938653.198,5978112,5882880,5939200,6062080,5182464,4677120,5038080,4130991.744,4925952,4121600,5248512,3903532.268,4994560,4811782.259,2319553.9,4593664,5070336,2496579.334,4753408,1152061.734,,5103616,1793535.34,4518588.374,,,,,,,,,,,,,,,,,,,,
4300627.193,1816317.389,,2978304,2704896,,2039296,3430912,4127848.779,,1680602.003,1804982.924,2129825.164,3000129.896,,1885696,3123820.409,2640384,910652.794,2732544,104312.9155,106153.3128,441805.0546,262900.3616,75402.94592,153696.7089,252672,189104.1912,3929600,2426283.648,229739.3762,2180096,2633353.953,121052.1113,347450.1652,2232726.75,262421.6207,2726125.345,3182592,4080816.569,4124160,240763.5676,516943.5008,383388.4051,3293376,,1035110.264,,79229.0038,495346.8309,1011444.754,,,1306934.225,,,1510890.471,724143.4972,342450.1607,86705.54321,3371667.309,1199413.362,,,1201624.214,804411.064,,1668585.094,,6212608,,1029621.886,,3032466.661,2252298.06,,,,,89671.59069
,,,,,,,,,19337.68529,20621.19161,24633.74135,,465408.5255,,,21794.44597,32496.06988,,,234851.9252,400841.2739,3186200.032,2226128.982,305465.7265,199807.3647,,798865.7819,381725.9967,47201.16214,2947617.83,,47040,2864383.676,3721259.704,,3993718.052,36868.65624,159323.0125,338370.2359,179561.7146,3156480,3616256,1874679.766,128213.3297,,4085803.72,,944126.1309,3042709.404,1183926.057,235400.5884,179438.8408,410058.9173,,169836.7677,51538.38871,2709507.932,555345.2449,140843.8123,3040805.27,1850429.235,1241706.411,1352331.848,5193975.661,2877410.285,,5713905.769,,726683.4645,5713366.963,,541943.6957,3473017.173,3082762.472,,,861301.1786,,
,,,,,,,,,,,,,,,,,,,,3639689.86,4396732.054,,28685.01293,3952975.452,3354112,4054264.078,4261161.068,38598.56513,45897.33335,,44522.01,55680.00204,,,38304.34399,57714.1938,,46787.07393,59142.05535,,,,,,211127.1823,,2889216,3980326.655,39801.13589,,2934941.448,3389664.163,4490048.689,71242.68075,854588.2355,,,400128.7167,2972672,4617216.982,2688220.742,2204892.679,3008498.415,120894.771,1607621.077,5133949.208,,,,,,,2754614.053,4387145.073,,,,,
363204.6572,352420.8105,83295.99221,236524.9682,76835.00003,206438.7894,66282.22134,218424.1936,830250.5569,580548.8954,497614.6559,480561.3768,618744.9886,405858.6069,40812.65085,402059.9876,258594.9231,541763.4302,167597.0304,334516.7872,2197640.978,1392965.36,2644072.153,1217922.342,1293009.974,2932560.981,3497196.38,936558.9054,1212015.238,950730.7149,3615232,3598954.994,3140571.713,1732205.382,309895.0202,3266666.672,3480704.144,2381981.866,3524608,443611.8744,293525.3823,324574.779,467742.4608,251053.6423,305996.766,306274.1398,610636.1421,310414.8833,355990.1143,324684.4702,269200.4393,310172.14,346716.5933,495638.2909,284443.3106,230263.3907,180245.2323,306037.0809,223014.4942,418842.5991,1321184.11,292201.251,3229008.664,3942335.647,3476724.851,2894536.636,2619541.128,3533159.886,1508735.579,2579523.792,34200.54368,4900864,758397.9762,3894276.414,2336065.264,2195371.428,1617968.741,3785945.647,,3122646.244
,,,,,,,,,,,,,,,,,,,,,2492065.058,2807495.346,1683069.727,1393133.647,112336.9414,160644.6541,3024322.28,2701821.143,2728697.639,,,642491.5014,1760584.357,3296256,,1259471.415,,,3498967.062,,,,,,,,,,,,,,,,,,,,,3547029.553,,,,,1674018.84,2287840.541,,,3246813.961,4777421.46,,284686.9935,,,1880677.136,,,,
,17247.13801,,,16441.18081,,,,43746.85794,28338.52901,25714.32784,25443.15947,31870.8517,16867.69115,,21748.08386,11818.90412,32864.73005,,,277014.2543,349516.8886,250003.2877,226587.7076,405129.7703,269255.4654,335070.7305,513626.3946,404316.8464,239754.5047,292330.5402,353190.7008,271026.0131,235553.4836,316296.7297,275452.1757,420588.5561,296993.2219,333018.0507,419871.8368,,12478.08459,,17057.75563,,,58586.90533,,75329.65836,,41490.4643,25250.41062,45350.55706,22105.94093,,,22271.34971,40590.28921,,28959.37773,,2363488.739,,,3870574.74,3947794.787,4649170.172,4331846.655,3976415.863,4220076.134,4132001.857,4259571.658,4455793.729,1531961.595,3291499.471,3585919.193,,,,1671807.178
,,3888367.926,,1838354.748,,,,,,,,,2833033.428,,2351432.993,3553239.175,1527701.722,,4849668.505,,3890947.769,3118620.952,115712.022,242209.1238,284375.4335,343810.9931,,,3685517.767,,,,4500143.021,116026.2923,2578995.338,,,511818.0862,299212.6424,,,299425.8429,788629.8492,,,,1168769.662,,,2196927.188,,,2595667.046,,4602266.578,,,3682885.284,2958547.378,,,,,,,,,,,,,,,,,,,,
711165.1139,475211.7609,356311.7852,881536,616015.3332,417634.2855,488320,506507.5158,618768.9738,528095.4199,476588.8387,723588.9404,558363.1389,688364.1779,104800.6114,718545.261,528113.0397,592448,154944,476040.9866,895644.9712,786044.9813,975514.4553,472000,697422.2536,626423.3735,780148.929,838412.385,744573.5248,529652.897,1134445.29,911967.3403,656168.5741,632963.3645,662085.9072,680536.0284,650663.5309,508429.6087,541403.678,873010.8861,412384.7053,338114.8805,477016.6369,394268.5261,700888.1749,22929.4492,636264.8626,,716674.3831,596623.7185,506378.9953,577481.6568,848079.8972,534692.2111,20638.03611,,699507.3747,477684.3012,,683611.9964,761057.0418,3033088,197580.473,106060.156,4302662.945,3986075.954,2564608,3600265.518,,3930624,,,,3441442.656,2137142.599,88325.96787,,82213.04871,,
,,,,,,,,3397893.219,,,,,,202182.6728,1864704,,,,,1853721.896,1312224.671,3037008.488,1509207.586,1656920.218,,,1319345.537,2125790.227,1447336.748,1638510.837,1402225.569,1333717.007,987414.893,3079600.381,1631698.386,2890055.073,1373713.081,,2428629.538,,,,,,,,,,,,,,,,,,,,,905858.2685,2453449.018,700347.4199,1149231.177,932607.6443,2270578.68,1146406.787,595709.7577,995276.7272,,2602182.017,2272319.651,860006.0226,1771512.659,2066014.598,369767.5436,,4082176,,3035648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966182.061,3705640.122,538216.9369,,1387735.214,1392305.986,1065191.641,1327716.599,1789185.454,1227569.091,1673057.87,973492.9631,1425919.729,1893834.82,2179895.057,1060288.873,,622657.2778,,
,,,170221.5237,,,153419.9777,356026.8008,,694613.8753,,227962.0563,,,,,,,,,,,,,,,,153290.9134,,,610290.5199,176311.476,,,,,,,,,,,,,,,280825.0976,,100929.6847,,,155756.3461,,,,,,170832.3704,,,3132928,3941322.916,2732398.07,3378337.986,3544981.583,3009309.389,3774638.676,3509248,1834834.297,2874925.835,3314176,2810880,2352293.9,3842481.012,3770667.289,,114594.0705,142531.5592,,3718656
1748338.257,1654784,441556.4592,788285.6983,387392,1004067.609,320974.715,1022308.459,,1067113.873,790483.3345,2199423.97,2707635.061,1888768,,,821968.9718,2425738.128,816540.0435,1610343.427,2481604.371,3264603.853,,3085755.406,2077779.612,2917470.509,3265027.563,1322303.547,2563740.127,3264160.412,2888721.181,3368099.616,3361965.467,3219006.223,546809.8076,3168343.442,1806337.972,2838491.866,875794.9163,2357620.36,1457895.2,591146.4787,2064183.266,1212918.694,1433432.651,1269489.829,1413697.63,1436867.203,1521664,1417253.03,1211438.239,1374674.702,1168434.945,2155155.904,1236480,1075727.655,816192,627186.5354,921401.5131,1173020.101,1251109.832,3884394.455,571477.5309,84945.66788,1538007.353,2481009.248,243620.2379,3671372.397,409208.0354,3709033.016,459340.2242,3805036.699,662255.723,2827898.199,,387953.9562,106347.2797,3901506.491,,2277736.651
,,,1051867.066,,,,,,1542832.01,2015637.271,,,,,,412163.4236,,,,,,1167968.417,,549603.4808,1340533.844,781699.6558,,,,,,,,1683353.173,,,404649.6845,1149326.868,,,1029569.036,,,,,991734.3085,,,,,,195966.7814,,,,,821316.6272,388038.0561,1682064.052,3137480.896,1238445.2,,3399379.086,2733669.744,,,,,3804634.723,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2869290.29,,3301855.994,3335075.308,2868321.135,220966.5605,3763824.993,,,311819.1274,3082870.937,3227108.345,467815.2961,3639480.652,505771.5933,,,270037.3737
256444.1716,194956.9894,,,49845.36634,104968.6138,,254044.3837,,,,,,246261.3709,,,232773.4916,207338.0686,,148831.7192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3033278.937,1654973.157,1119503.698,206651.6266,,1436050.135,836180.012,3072388.673,,,,5053952,524045.5857,2132884.655,,3746802.03,,,1960515.298
1666853.247,967323.8251,3056282.805,327034.97,1484048.021,2425772.068,3480576,3267953.445,1213507.09,1454310.186,1774880.343,1173548.497,2142782.014,2170281.657,1380824.019,1182733.093,1247507.035,588904.4723,1249232.875,2219852.246,,,,,,,,,,,,17083.19967,14950.139,24121.42699,,,,,,,1584128,802534.7703,1590982.949,1110018.718,533568,,211819.1092,,455894.9957,1392128,1620358.473,390131.9448,756698.8323,2386432,,,,188195.6356,,1556362.793,,147317.6411,115249.9658,156661.2301,,152043.3617,,,,,,,,120963.4719,99788.71012,,,,,
,,,,,,10592.2638,8173.315823,,,7137.092064,,,,,,,11761.93614,,17970.37997,,,,,,,,,,,,,,,,,,,,,16497.73756,22697.46452,,9164.209332,,,25318.28838,14040.41222,31651.46512,19915.1017,14397.04551,26109.93888,35653.68504,37993.31173,,,,20744.61693,,27208.85524,,,3588916.807,2332222.575,,,3575726.698,3626496,,,,,,1158282.406,,,,,,
2771456,2308608,1890304,2583462.513,2052053.128,2136576,2413568,2549248,2512384,2725151.746,2234722.884,2140909.364,1459258.13,2488851.575,1597440,2771968,2835968,1016414.672,1929100.776,2441216,3578880,624171.2813,1346170.733,3581952,2010665.32,3459584,3270007.64,978816.0817,3198178.493,3203351.804,1353652.237,1834306.732,3300352,1001461.111,3391755.917,,3109996.868,3429376,1372182.612,3180244.448,1404927.505,2876928,2900992,1475515.248,2882048,2831360,2855936,580574.9431,2742272,2273975.755,2400977.421,2821120,1306964.053,2844812.35,2421034.693,2797056,2808832,2797568,1494219.086,2876416,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1445015.004,1016926.567,1689845.311,503091.8947,,,,1960921.022,1268179.435,,3578880,3218944,2088852.043,,2521502.991,3459584,340094.8085,978842.0181,840004.2279,584866.4279,2661289.105,1885971.681,362929.0396,2903242.904,370852.4146,,617586.7262,159189.8861,2396415.053,2460568.277,1834022.292,,262862.6254,1292872.52,,,,2529262.958,,429944.678,116933.5536,,1602097.399,366503.0318,726994.4861,,,,1679034.02,,,,,,,,,,,,,,,,,,,,,
,3342188.415,544121.471,164030.2007,,906051.7939,,,1599284.33,3499218.277,,3201312.012,,,,2706355.15,3631243.669,,,3005491.355,34177.15123,,15700.02483,13305.89589,13987.04338,37419.87818,,,20822.92411,13051.93117,,,13685.2551,,32880.97434,,,20226.40057,7617.879965,,,,203855.6578,,,,1442619.995,,,,,,,,,,,1047398.896,,,158989.3755,,,,155590.7845,211863.0731,388355.2139,439555.5888,78792.40445,117718.288,49315.94127,,296303.493,366062.545,,337311.6819,334387.6328,307697.8718,,444762.731
41726.0918,38031.71679,71016,116647.3056,10715.91861,31888.59048,44363.44049,58213.42679,37014.3813,46381.09941,50535.55724,65962.9611,34315.0087,39244.24452,23012.56311,51472.34852,37719.60149,72976,38667.94537,51742.60319,114567.722,153221.7586,170704.3993,127157.5532,117699.0016,206731.0431,224506.711,178838.7684,107737.2755,122752.4077,168516.5334,208426.6598,36306.20591,165670.542,200856.8655,119340.1513,145376.4061,138009.6551,156701.1,209409.1263,37683.35281,43069.12047,99346.55766,51139.3263,22011.24703,19639.18659,109081.4527,42066.20756,31060.61499,36874.49378,34726.55665,69753.37213,48214.93319,38545.84376,24076.35845,40512.0056,28477.23917,49949.03295,53181.92011,57250.12676,1243136,1445436.472,,247611.3595,875494.6587,3094779.463,3062225.779,1276366.27,,1480704,,,,2072721.737,1792330.559,,,,,
368782.4918,,2934695.047,,233248.6551,1574484.103,27560,239977.7897,68056,1697430.736,71074.88992,63728,58088,,832314.2814,28288,174075.3814,84560,933406.5723,,24407.97667,21868.55593,23249.51905,27249.59189,31053.74769,42353.24278,37484.06301,29535.3258,30009.95364,38464,25700.96265,48726.72607,,18949.83655,27546.63051,33896,27054.3719,17156.30546,,,,,,,53004.67479,,,,,,,,,19140.98468,,,,,,19568.53016,313739.0253,594343.3485,,,395065.7901,422635.689,388480,400828.2158,653254.0497,,,1694058.616,,725607.4356,180939.5452,,,,,662286.3774
