,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
12,#13 73.1000@17.3155 MS1+,1,+,17.3155,788285.6983102339,15050.507817034497,73.0999984741211,,,0.0004267492137518536,73.0999984741211,17.321833333333334,1748338.2568470216,73.0999984741211,17.315583333333333,1654784.0,73.0999984741211,17.321683333333333,441556.4592197634,73.0999984741211,17.3155,788285.6983102339,73.0999984741211,17.30915,387392.0,73.0999984741211,17.30935,1004067.6091213392,73.0999984741211,17.309266666666666,320974.71503335226,73.0999984741211,17.315483333333336,1022308.4589847036,73.0999984741211,,,,17.32786666666667,1067113.8726222117,73.0999984741211,17.321666666666665,790483.334505924,73.0999984741211,17.3281,2199423.9698367105,73.0999984741211,17.327966666666665,2707635.061181159,73.0999984741211,17.315533333333335,1888768.0,73.0999984741211,,,,,,,17.32165,821968.9717854054,73.0999984741211,17.32793333333333,2425738.1279614614,73.0999984741211,17.3279,816540.0435365078,73.0999984741211,17.315433333333335,1610343.4272418516,73.0999984741211,17.296766666666667,2481604.3708761875,73.0999984741211,17.28415,3264603.852965785,73.0999984741211,,,,17.309266666666666,3085755.405730662,73.0999984741211,17.278,2077779.6120105628,73.0999984741211,17.321616666666667,2917470.5089480225,73.0999984741211,17.315366666666666,3265027.5628136545,73.0999984741211,17.3029,1322303.5465967543,73.0999984741211,17.2967,2563740.1269902773,73.0999984741211,17.309266666666666,3264160.411884916,73.0999984741211,17.290333333333333,2888721.1810934376,73.0999984741211,17.296733333333332,3368099.6156535456,73.0999984741211,17.30291666666667,3361965.4666018607,73.0999984741211,17.296716666666665,3219006.223171372,73.0999984741211,17.34035,546809.8076198404,73.0999984741211,17.309233333333335,3168343.4417760563,73.0999984741211,17.29675,1806337.9715398848,319.20001220703125,17.296666666666667,2838491.865849739,73.0999984741211,17.32795,875794.9162729401,73.0999984741211,17.2842,2357620.359569177,73.0999984741211,17.315383333333333,1457895.2000704566,73.0999984741211,17.303,591146.4787488605,73.0999984741211,17.32805,2064183.2655593527,73.0999984741211,17.315566666666665,1212918.6942538982,73.0999984741211,17.29685,1433432.6505592498,73.0999984741211,17.309333333333335,1269489.8294604423,73.0999984741211,17.302966666666666,1413697.6298662918,73.0999984741211,17.30935,1436867.203107318,73.0999984741211,17.315533333333335,1521664.0,73.0999984741211,17.315483333333336,1417253.0297925728,73.0999984741211,17.30915,1211438.238547124,73.0999984741211,17.315416666666668,1374674.7015329057,73.0999984741211,17.315583333333333,1168434.945349696,73.0999984741211,17.309083333333334,2155155.9038393246,73.0999984741211,17.327916666666667,1236480.0,73.0999984741211,17.30925,1075727.654978111,73.0999984741211,17.3154,816192.0,73.0999984741211,17.309083333333334,627186.5354479721,73.0999984741211,17.3093,921401.5130529552,73.0999984741211,17.296766666666667,1173020.1009058503,73.0999984741211,17.303100000000004,1251109.831921243,73.0999984741211,17.2779,3884394.4551060647,73.0999984741211,17.303066666666666,571477.530857631,73.0999984741211,17.284066666666668,84945.66788482806,73.0999984741211,17.315383333333333,1538007.35292324,73.0999984741211,17.3154,2481009.2480116803,73.0999984741211,17.290533333333332,243620.23794260249,73.0999984741211,17.284333333333333,3671372.3972678734,73.0999984741211,17.296666666666667,409208.03544816,73.0999984741211,17.3218,3709033.01633928,73.0999984741211,17.3343,459340.2241687663,73.0999984741211,17.302966666666666,3805036.698665753,73.0999984741211,17.315616666666667,662255.7230415214,73.0999984741211,17.29661666666667,2827898.199089106,73.0999984741211,,,,17.315533333333335,387953.9561918704,73.0999984741211,17.303066666666666,106347.27965768288,73.0999984741211,17.290533333333332,3901506.4908930697,73.0999984741211,,,,17.278,2277736.651338361,73.0999984741211,0.06099620413967193
291,#292 73.1000@21.6879 MS1+,1,+,21.6879,15838.923823672696,1628.9689813687185,73.0999984741211,,,0.00017903051512546675,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6442,35026.97905603913,73.0999984741211,21.65655,25275.23974549322,73.0999984741211,,,,,,,21.662916666666668,19839.915719943587,73.0999984741211,21.6567,12562.109265651554,73.0999984741211,,,,,,,21.6441,4900.876322869139,73.0999984741211,21.68168333333333,14595.10216501908,73.0999984741211,21.65651666666667,11112.114031182891,73.0999984741211,,,,21.66295,35994.73447626922,73.0999984741211,21.6879,15838.923823672696,73.0999984741211,21.650366666666667,11362.67963181017,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.725566666666666,19618.882318526885,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.712866666666667,30826.829777277075,73.0999984741211,,,,,,,,,,,,,,,,,,,0.09382676669345147
157,#158 152.0000@6.5063 MS1+,1,+,6.506333333333333,52325.18390605477,1643.0955451424356,152.0,,,1.7050690859221616e-09,152.0,6.475133333333333,35030.77504932837,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4625,43177.51446620048,152.0,,,,,,,6.462583333333333,39256.0,152.0,,,,,,,,,,,,,6.55015,68124.17736783647,152.0,6.537533333333333,63420.68768061425,152.0,6.53765,71282.08332831229,152.0,6.518866666666667,81487.59485058482,152.0,,,,6.543733333333333,127960.2152685946,152.0,6.5499833333333335,93725.01272897323,152.0,6.5437666666666665,84197.04804271157,152.0,,,,,,,6.5499833333333335,91860.20711200492,152.0,6.5251,70181.88056132675,152.0,6.5312833333333336,75009.22605750858,152.0,6.525083333333333,63636.30870623738,152.0,6.5437,78132.37446706727,152.0,6.506333333333333,52325.18390605477,152.0,6.543883333333334,105348.33439258688,152.0,6.53755,89416.49755697715,152.0,6.525033333333332,84947.77084018695,152.0,6.525083333333333,69790.75907836834,152.0,,,,,,,,,,,,,,,,6.531433333333333,28844.587085564155,152.0,,,,,,,,,,6.5501,70142.1833423279,152.0,6.556283333333332,64086.58882163089,152.0,,,,,,,,,,,,,,,,6.556283333333332,34063.87434588431,152.0,6.537449999999999,75791.89417318652,152.0,,,,,,,,,,6.49375,113955.57520563377,152.0,6.518916666666667,29744.0,152.0,6.512433333333333,19124.591148435764,152.0,6.506216666666668,69571.38296529056,152.0,6.499983333333334,82618.95403547291,152.0,,,,6.487683333333333,43908.26857097836,152.0,6.500016666666666,38737.79953198,152.0,,,,6.462583333333333,34667.13401895123,152.0,,,,6.468916666666667,52118.7197305251,152.0,6.512466666666667,43685.31325085164,152.0,6.47505,34808.27397599917,152.0,6.506366666666667,34292.864456142306,152.0,,,,,,,,,,6.500116666666667,91966.83886852066,152.0,0.11471400442723871
30,#31 73.1000@17.9410 MS1+,1,+,17.941016666666666,33449.62178382481,1612.688661122838,73.0999984741211,,,0.0078885297631516,73.0999984741211,,,,17.9411,14290.798744571592,73.0999984741211,17.953466666666667,3397.5651749204485,204.1000061035156,17.947283333333335,10165.291627333558,73.0999984741211,,,,17.941133333333333,6151.086977915278,73.0999984741211,17.94105,3840.0,204.1000061035156,17.941016666666666,11519.54049160341,73.0999984741211,17.959883333333334,32875.039838280834,73.0999984741211,17.95965,20474.339842782472,73.0999984741211,17.95345,21122.110495270084,73.0999984741211,17.959883333333334,18587.79841435113,73.0999984741211,17.95975,28099.109693219973,73.0999984741211,17.941066666666668,18148.14692308012,73.0999984741211,,,,17.959833333333332,18121.042412800583,73.0999984741211,17.9597,13017.882715542097,73.0999984741211,17.95345,25876.28726383776,73.0999984741211,17.953433333333333,5670.875633849995,73.0999984741211,17.947233333333333,12044.040728930588,73.0999984741211,17.947316666666666,166886.52682342392,73.0999984741211,17.940966666666668,312844.9582747482,73.0999984741211,17.953583333333334,227771.21510906905,73.0999984741211,17.947316666666666,153641.86408690363,73.0999984741211,17.94105,268104.9638351698,73.0999984741211,17.934633333333334,197919.57821721176,73.0999984741211,17.9409,326548.1188710986,73.0999984741211,17.940933333333337,418408.2960275621,73.0999984741211,17.953516666666665,261156.41362730015,73.0999984741211,17.95355,162929.54475471436,73.0999984741211,17.94715,265860.1727814218,73.0999984741211,17.941033333333333,232983.6835798755,73.0999984741211,17.947216666666666,196423.3113413626,73.0999984741211,17.93475,209090.0775357883,73.0999984741211,17.959633333333333,213403.43896971643,73.0999984741211,17.953533333333333,174653.66695255262,73.0999984741211,17.9473,266032.614161132,73.0999984741211,17.947216666666666,219074.2904451372,73.0999984741211,17.940966666666668,220341.67679911517,73.0999984741211,17.941016666666666,360248.383535448,73.0999984741211,17.947166666666668,26707.639841937,204.1000061035156,17.9348,22459.295926699167,73.0999984741211,17.959833333333332,24116.384916898955,73.0999984741211,17.947349999999997,26264.303303937144,204.1000061035156,,,,17.93485,15311.96928044378,73.0999984741211,17.941016666666666,33449.62178382481,73.0999984741211,17.93488333333333,21128.546880109352,204.1000061035156,17.941066666666668,26452.120982524444,73.0999984741211,17.947266666666668,23334.3359102172,73.0999984741211,17.940933333333337,25171.529028193272,204.1000061035156,17.9472,27702.399905449733,204.1000061035156,17.941116666666666,30012.44718334816,204.1000061035156,17.940883333333332,30785.22608329625,73.0999984741211,17.9597,24252.66921065038,204.1000061035156,17.941033333333333,18617.33242401895,204.1000061035156,17.940933333333337,10596.20284990004,204.1000061035156,17.94086666666667,37367.023672591735,204.1000061035156,,,,17.934816666666666,25659.146975127107,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.947316666666666,2036487.793134874,73.0999984741211,0.11500509755653175
112,#113 102.1000@7.7074 MS1+,1,+,7.707399999999999,110647.90590050498,2695.408209440892,102.0999984741211,,,0.00016188818439344388,73.0999984741211,,,,7.6699,26767.55313811673,102.0,7.6635,27687.632453990485,102.0,,,,,,,7.663666666666667,16802.712046508925,102.0,,,,7.682316666666667,17143.245083553902,102.0,,,,7.675933333333333,21730.950406300908,102.0,7.675983333333333,27552.0,102.0999984741211,7.682416666666667,35081.455041533445,102.0,7.682283333333333,34047.29325794378,102.0,,,,,,,7.682366666666667,40068.504429878085,102.0999984741211,7.675983333333333,34659.556161196306,102.0,,,,,,,7.682266666666667,16250.072588452376,102.0,7.7199,30017.39423364792,102.0,7.713533333333333,49569.527453940726,102.0999984741211,7.71365,69344.70649417517,102.0999984741211,7.713633333333333,125803.10552996807,102.0999984741211,7.719883333333334,121498.0475819488,102.0999984741211,7.725983333333334,115778.01232066251,102.0999984741211,7.725983333333334,77856.95954824459,102.0999984741211,7.719766666666667,92359.89770186484,102.0999984741211,7.713583333333333,130288.08322085,102.0999984741211,7.713616666666667,80608.0,102.0999984741211,7.719716666666667,22099.01571013263,102.0,,,,7.71355,48596.71911501689,102.0,7.7261,42946.76977828207,102.0,7.7197,277310.7583852881,102.0999984741211,7.70735,47697.94057161616,102.0999984741211,7.713616666666667,115258.24102199676,102.0999984741211,7.7198,86058.75521565336,102.0999984741211,7.707283333333334,90291.63583339004,102.0999984741211,7.713583333333333,40187.614633540776,102.0999984741211,7.7135,39029.75591340054,102.0,7.738649999999999,18695.853146608104,102.0999984741211,7.707399999999999,110647.90590050498,102.0999984741211,7.726183333333333,59434.01757186021,102.0999984741211,7.707466666666667,48213.39840177091,102.0,,,,7.7261,54116.7579520335,102.0999984741211,,,,7.732416666666666,116469.54081123356,102.0999984741211,7.71985,81255.70341855804,102.0999984741211,7.732283333333333,33144.0,102.0,7.7323,51795.89171416548,102.0999984741211,7.744966666666666,99740.39840689412,102.0999984741211,7.719716666666667,34962.29041256964,102.0999984741211,,,,,,,,,,7.7197,74461.95622975874,102.0999984741211,,,,7.72615,47365.09795992241,102.0999984741211,,,,7.701016666666667,103136.0,102.0,,,,,,,7.713483333333333,87272.0,102.0,7.70725,38074.415589324,102.0999984741211,,,,7.69495,41032.309608594944,102.0,7.707283333333334,201032.200743134,102.0,7.682383333333333,132924.34400159898,102.0,,,,7.67605,32129.19839620287,102.0,7.694966666666667,32068.236720246023,102.0,7.713483333333333,42735.508431990354,102.0,7.7136,102368.0,102.0,,,,,,,,,,,,,7.713633333333333,38427.29523237405,102.0999984741211,0.11684548311326444
106,#107 129.1000@24.7030 MS1+,1,+,24.703,94277.59072876743,5044.412861625696,129.10000610351562,,,0.0001587471515449579,129.10000610351562,24.69683333333333,21254.29322147701,73.0999984741211,24.709350000000004,37429.78406421907,73.0999984741211,,,,24.696766666666665,16339.001429007942,73.0999984741211,24.70918333333333,25220.42231640412,129.10000610351562,24.70938333333333,32325.4543603133,73.0999984741211,,,,24.709266666666668,48713.67425188285,73.0999984741211,24.709366666666668,21328.5056338342,73.0999984741211,,,,,,,,,,24.721733333333336,65481.59552479808,129.10000610351562,,,,,,,,,,,,,24.70293333333333,13439.025424001797,73.0999984741211,,,,,,,24.6968,118321.1201410672,73.0999984741211,24.696683333333333,100896.19138419157,129.10000610351562,24.70305,27654.03428426152,129.10000610351562,24.69678333333333,84047.69315342105,73.0999984741211,24.70303333333333,34240.81593993213,129.10000610351562,24.696616666666667,97123.30020513688,73.0999984741211,24.696616666666667,104455.37064329562,129.10000610351562,24.696666666666665,121087.794383708,129.10000610351562,24.70925,87657.53931826026,129.10000610351562,24.709283333333328,91862.65936739749,129.10000610351562,24.696616666666667,74136.03026463595,129.10000610351562,24.703016666666667,102766.53004613606,129.10000610351562,24.7092,111686.80851528543,129.10000610351562,24.69673333333333,131394.16112722075,129.10000610351562,24.721616666666662,107352.64253669586,129.10000610351562,24.709266666666668,82364.53213248544,129.10000610351562,24.715533333333333,107120.78803117631,129.10000610351562,24.709216666666663,99185.4559747045,129.10000610351562,24.70295,97074.77765926972,129.10000610351562,24.703,132864.0,129.10000610351562,24.715416666666663,94622.8967247433,129.10000610351562,24.70303333333333,81476.9485246702,129.10000610351562,,,,24.7156,88656.0,129.10000610351562,24.696866666666665,81222.91579143831,129.10000610351562,24.7031,82052.27809661432,129.10000610351562,24.703,94277.59072876743,129.10000610351562,24.703133333333334,114409.23704274122,129.10000610351562,24.715566666666668,122878.4360547043,129.10000610351562,24.7155,104423.49384214176,129.10000610351562,24.715433333333333,106416.23871187482,129.10000610351562,24.71545,114946.03749840573,129.10000610351562,24.7156,140416.0,129.10000610351562,24.70286666666667,97833.34703563635,129.10000610351562,24.727933333333333,107387.29488786818,129.10000610351562,24.715516666666662,112075.74997435429,129.10000610351562,24.715433333333333,73651.56868315912,129.10000610351562,24.715366666666668,91373.71300338989,129.10000610351562,24.71558333333333,73713.9754790397,129.10000610351562,24.70305,96592.65740727722,129.10000610351562,24.696866666666665,142886.1123912778,129.10000610351562,24.696683333333333,173914.72863899544,129.10000610351562,24.709350000000004,253099.10069949745,129.10000610351562,24.6966,224770.41039285008,129.10000610351562,24.69663333333333,263855.4405848348,129.10000610351562,24.696666666666665,231421.5617543531,129.10000610351562,24.696816666666667,318715.54813733883,129.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14244317404531145
226,#227 73.1000@5.9245 MS1+,1,+,5.9245,28513.745383228867,546.4775842609694,73.0999984741211,,,7.797346623927838e-08,75.0,5.949683333333334,41134.78315083838,73.0999984741211,,,,,,,,,,5.93075,40762.76067401795,73.0999984741211,,,,,,,5.9371,36273.00339576498,73.0999984741211,5.955966666666667,44558.35356687997,73.0999984741211,,,,5.9245,28974.018735790272,73.0999984741211,5.949699999999999,39952.07170660337,73.0999984741211,5.9308,32309.93236277936,73.0999984741211,5.94965,35361.89354895574,73.0999984741211,5.8996,7816.205602309135,73.0,5.930883333333333,31821.19704655748,73.0999984741211,5.9245,28513.745383228867,73.0999984741211,5.962033333333333,36886.60071689207,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.930883333333333,42944.73119993424,73.0999984741211,,,,5.9183,36035.34673572122,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,0.17689654156995413
96,#97 73.1000@24.7781 MS1+,1,+,24.77808333333333,16321.39779102092,751.2926777009252,73.0999984741211,,,0.006546565986398,73.0999984741211,24.81568333333333,3873.623304505738,73.0999984741211,,,,,,,,,,,,,,,,24.796866666666663,9751.14875753672,73.0999984741211,24.803083333333333,8240.818108123756,73.0999984741211,,,,24.821716666666667,3715.86983328461,73.0999984741211,,,,,,,,,,24.80313333333333,15570.821819802455,73.0999984741211,,,,,,,,,,,,,24.8155,4768.082364126909,73.0999984741211,24.8093,5179.411986024817,73.0999984741211,24.778116666666666,384464.2905950304,361.2000122070313,24.77175,14806.0,361.2000122070313,24.784366666666667,20571.799070140376,73.0999984741211,24.7781,12351.643998289132,73.0999984741211,24.771850000000004,172573.05398978118,73.0999984741211,24.76543333333333,48834.41122909339,361.2000122070313,24.76543333333333,28395.470692273462,73.0999984741211,24.771733333333334,19990.07715938927,73.0999984741211,24.7843,18628.60680428008,73.0999984741211,,,,24.78418333333333,17809.723847938527,73.0999984741211,24.77808333333333,16321.39779102092,73.0999984741211,24.778016666666662,20337.96323213988,73.0999984741211,24.76555,16524.441789690783,73.0999984741211,24.790416666666665,24427.53445951728,73.0999984741211,24.79058333333333,18443.4239538767,73.0999984741211,24.78435,35955.587538930995,73.0999984741211,24.778016666666662,8224.177573847352,73.0999984741211,24.77175,38863.36167932308,73.0999984741211,24.7718,17743.092373035266,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78418333333333,6190.314781266643,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,24.77815,147841.33161917544,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18035078419326878
50,#51 361.2000@24.5716 MS1+,1,+,24.571583333333333,78233.72977527608,3715.977653837168,361.2000122070313,,,0.0215758355015115,361.2000122070313,24.59675,8394.669270909304,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5842,8861.825454119258,73.0999984741211,,,,,,,,,,,,,,,,,,,24.57795,1280512.0,361.2000122070313,24.56533333333333,26574.001297096034,361.2000122070313,24.57795,45515.994083223246,361.2000122070313,,,,24.565416666666668,642953.3234207234,361.2000122070313,24.565266666666663,117240.41546513328,361.2000122070313,24.565266666666663,36912.0,361.2000122070313,24.5653,24831.604519428965,361.2000122070313,24.57788333333333,20565.78782975738,361.2000122070313,,,,,,,,,,24.57785,14601.46391374336,361.2000122070313,24.565366666666662,34195.62488405822,361.2000122070313,24.59025,64269.335107473686,361.2000122070313,24.58416666666667,28881.679602360204,361.2000122070313,24.577916666666667,83436.31316526332,361.2000122070313,24.5716,26254.300179514543,361.2000122070313,24.571583333333333,78233.72977527608,361.2000122070313,24.57163333333333,19930.67275016123,361.2000122070313,24.58405,6512.548495960786,73.0999984741211,,,,,,,,,,,,,24.57173333333333,8583.120724272208,73.0999984741211,24.57163333333333,6054.015313583631,361.2000122070313,,,,,,,,,,24.584066666666665,8694.407105892547,73.0999984741211,,,,24.58425,6683.660759809776,73.0999984741211,,,,,,,,,,,,,,,,24.590466666666668,9845.140565111142,73.0999984741211,24.571683333333333,7539.385614760191,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20536062007716827
128,#129 73.1000@14.1191 MS1+,1,+,14.119066666666669,69174.69875674575,2911.498729690386,73.0999984741211,,,0.00014868190390138203,73.0999984741211,14.131616666666666,31890.005202139266,73.0999984741211,14.119116666666669,70609.43513152684,73.0999984741211,14.131483333333334,29900.866386567708,73.0999984741211,14.13155,69637.54966381605,73.0999984741211,14.11895,46615.55942957552,73.0999984741211,14.11915,69187.56489858941,73.0999984741211,14.119066666666669,69174.69875674575,73.0999984741211,14.119033333333334,101860.5353544529,73.0999984741211,14.1379,41620.00486713997,73.0999984741211,14.131416666666668,52234.490514379504,73.0999984741211,14.131466666666666,52808.65958483308,73.0999984741211,14.1379,59802.811457650445,73.0999984741211,14.1315,29870.690878354013,73.0999984741211,14.119083333333334,66262.21702768313,73.0999984741211,14.144083333333333,9924.822753641994,73.0,14.137833333333331,33950.74902858224,73.0999984741211,14.13145,77440.15520206984,73.0999984741211,14.131466666666666,51277.73437361664,73.0999984741211,14.13145,15404.901284538731,73.0999984741211,14.125233333333334,75080.50572498533,73.0999984741211,,,,,,,14.1316,13758.05401867691,73.0999984741211,14.119066666666669,20053.11550537169,188.1000061035156,14.119066666666669,19288.95964184044,188.1000061035156,14.131416666666668,35576.24650811477,188.1000061035156,14.11265,21138.80053597479,188.1000061035156,,,,,,,14.125316666666668,11121.835914368448,188.1000061035156,14.1314,8236.829998614314,188.1000061035156,14.11905,29115.51448295263,188.1000061035156,14.11898333333333,24932.984105528856,73.0999984741211,,,,14.1439,17360.227159869537,188.1000061035156,14.125283333333334,55225.71958983657,188.1000061035156,14.150333333333334,10103.369002901192,73.0999984741211,14.144,38787.81744800038,188.1000061035156,14.118966666666669,231473.92810284105,188.1000061035156,14.119016666666669,15446.656528316556,188.1000061035156,,,,,,,,,,,,,14.1129,12159.504865225144,188.1000061035156,,,,,,,,,,,,,14.125283333333334,19286.80574407315,188.1000061035156,,,,,,,14.125383333333334,34203.03685657199,188.1000061035156,,,,14.1377,30340.850360679964,73.0999984741211,14.119033333333334,18717.86123745132,73.0999984741211,,,,14.118866666666667,18903.96541333486,188.1000061035156,,,,14.119083333333334,22203.310017398333,188.1000061035156,14.100383333333331,19890.60794232077,73.0999984741211,,,,14.119116666666669,15282.931549215573,73.0999984741211,14.112633333333331,57487.26046559084,73.0999984741211,14.1064,46248.73223771037,73.0999984741211,14.112683333333331,34757.22758777288,73.0999984741211,,,,,,,,,,14.106566666666668,37341.3632629615,73.0999984741211,,,,,,,,,,14.112666666666666,37820.92623198737,73.0999984741211,,,,14.106566666666668,41894.78816773981,73.0999984741211,14.106599999999998,73893.08899544668,73.0999984741211,,,,,,,14.106566666666668,35052.829951847656,73.0999984741211,0.21691459164262025
