,name,ms_level,polarity,retention_time,height,area,mz,neutral_mass,adducts,p_value,quantitation_mass,H1.CDF retention_time,H1.CDF height,H1.CDF mz,H2.CDF retention_time,H2.CDF height,H2.CDF mz,H21.CDF retention_time,H21.CDF height,H21.CDF mz,H22.CDF retention_time,H22.CDF height,H22.CDF mz,H23.CDF retention_time,H23.CDF height,H23.CDF mz,H24.CDF retention_time,H24.CDF height,H24.CDF mz,H25.CDF retention_time,H25.CDF height,H25.CDF mz,H3.CDF retention_time,H3.CDF height,H3.CDF mz,H31.CDF retention_time,H31.CDF height,H31.CDF mz,H32.CDF retention_time,H32.CDF height,H32.CDF mz,H33.CDF retention_time,H33.CDF height,H33.CDF mz,H34.CDF retention_time,H34.CDF height,H34.CDF mz,H35.CDF retention_time,H35.CDF height,H35.CDF mz,H4.CDF retention_time,H4.CDF height,H4.CDF mz,H41.CDF retention_time,H41.CDF height,H41.CDF mz,H42.CDF retention_time,H42.CDF height,H42.CDF mz,H43.CDF retention_time,H43.CDF height,H43.CDF mz,H44.CDF retention_time,H44.CDF height,H44.CDF mz,H45.CDF retention_time,H45.CDF height,H45.CDF mz,H5.CDF retention_time,H5.CDF height,H5.CDF mz,L1.CDF retention_time,L1.CDF height,L1.CDF mz,L2.CDF retention_time,L2.CDF height,L2.CDF mz,L21.CDF retention_time,L21.CDF height,L21.CDF mz,L22.CDF retention_time,L22.CDF height,L22.CDF mz,L23.CDF retention_time,L23.CDF height,L23.CDF mz,L24.CDF retention_time,L24.CDF height,L24.CDF mz,L25.CDF retention_time,L25.CDF height,L25.CDF mz,L3.CDF retention_time,L3.CDF height,L3.CDF mz,L31.CDF retention_time,L31.CDF height,L31.CDF mz,L32.CDF retention_time,L32.CDF height,L32.CDF mz,L33.CDF retention_time,L33.CDF height,L33.CDF mz,L34.CDF retention_time,L34.CDF height,L34.CDF mz,L35.CDF retention_time,L35.CDF height,L35.CDF mz,L4.CDF retention_time,L4.CDF height,L4.CDF mz,L41.CDF retention_time,L41.CDF height,L41.CDF mz,L42.CDF retention_time,L42.CDF height,L42.CDF mz,L43.CDF retention_time,L43.CDF height,L43.CDF mz,L44.CDF retention_time,L44.CDF height,L44.CDF mz,L45.CDF retention_time,L45.CDF height,L45.CDF mz,L5.CDF retention_time,L5.CDF height,L5.CDF mz,M1.CDF retention_time,M1.CDF height,M1.CDF mz,M2.CDF retention_time,M2.CDF height,M2.CDF mz,M21.CDF retention_time,M21.CDF height,M21.CDF mz,M22.CDF retention_time,M22.CDF height,M22.CDF mz,M23.CDF retention_time,M23.CDF height,M23.CDF mz,M24.CDF retention_time,M24.CDF height,M24.CDF mz,M25.CDF retention_time,M25.CDF height,M25.CDF mz,M3.CDF retention_time,M3.CDF height,M3.CDF mz,M31.CDF retention_time,M31.CDF height,M31.CDF mz,M32.CDF retention_time,M32.CDF height,M32.CDF mz,M33.CDF retention_time,M33.CDF height,M33.CDF mz,M34.CDF retention_time,M34.CDF height,M34.CDF mz,M35.CDF retention_time,M35.CDF height,M35.CDF mz,M4.CDF retention_time,M4.CDF height,M4.CDF mz,M41.CDF retention_time,M41.CDF height,M41.CDF mz,M42.CDF retention_time,M42.CDF height,M42.CDF mz,M43.CDF retention_time,M43.CDF height,M43.CDF mz,M44.CDF retention_time,M44.CDF height,M44.CDF mz,M45.CDF retention_time,M45.CDF height,M45.CDF mz,M5.CDF retention_time,M5.CDF height,M5.CDF mz,S1.CDF retention_time,S1.CDF height,S1.CDF mz,S2.CDF retention_time,S2.CDF height,S2.CDF mz,S21.CDF retention_time,S21.CDF height,S21.CDF mz,S22.CDF retention_time,S22.CDF height,S22.CDF mz,S23.CDF retention_time,S23.CDF height,S23.CDF mz,S24.CDF retention_time,S24.CDF height,S24.CDF mz,S25.CDF retention_time,S25.CDF height,S25.CDF mz,S3.CDF retention_time,S3.CDF height,S3.CDF mz,S31.CDF retention_time,S31.CDF height,S31.CDF mz,S32.CDF retention_time,S32.CDF height,S32.CDF mz,S33.CDF retention_time,S33.CDF height,S33.CDF mz,S34.CDF retention_time,S34.CDF height,S34.CDF mz,S35.CDF retention_time,S35.CDF height,S35.CDF mz,S4.CDF retention_time,S4.CDF height,S4.CDF mz,S41.CDF retention_time,S41.CDF height,S41.CDF mz,S42.CDF retention_time,S42.CDF height,S42.CDF mz,S43.CDF retention_time,S43.CDF height,S43.CDF mz,S44.CDF retention_time,S44.CDF height,S44.CDF mz,S45.CDF retention_time,S45.CDF height,S45.CDF mz,S5.CDF retention_time,S5.CDF height,S5.CDF mz,VIP
119,#120 73.1000@6.2812 MS1+,1,+,6.28115,20970.74733309893,680.8033179577133,73.0999984741211,,,9.653223587147153e-07,73.0999984741211,,,,,,,,,,6.268633333333335,26397.612914979924,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31245,16189.2819474602,73.0999984741211,,,,6.2937,24162.5488162623,73.0999984741211,6.274916666666667,16123.38917461336,73.0999984741211,6.318699999999999,16171.667927344526,73.0999984741211,,,,6.33105,14495.032109464082,73.0999984741211,6.312316666666667,14446.227319782049,73.0999984741211,,,,6.28115,12668.283551359264,73.0999984741211,6.312283333333332,11786.760186319152,73.0999984741211,6.28115,20970.74733309893,73.0999984741211,,,,,,,6.306,22290.969186409697,73.0999984741211,6.256116666666666,16203.358452809676,73.0999984741211,6.299916666666666,19429.81105206276,73.0999984741211,,,,6.274816666666666,14917.761284431384,73.0999984741211,,,,,,,,,,,,,,,,6.2937666666666665,15514.792890407658,73.0999984741211,,,,,,,,,,,,,6.30615,16102.988319270367,73.0999984741211,,,,6.3311,18762.788452300185,73.0999984741211,6.274966666666667,18964.907154304223,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,6.325033333333334,55764.55813880294,73.0999984741211,6.268566666666667,131491.35333800694,73.0999984741211,,,,,,,6.293533333333333,235047.10488695663,73.0999984741211,6.306066666666666,262095.6730919557,73.0999984741211,,,,6.249983333333334,250131.9355785032,73.0999984741211,6.274816666666666,171120.7165701854,73.0999984741211,,,,,,,,,,6.231216666666667,208430.36200603447,73.0999984741211,6.299783333333333,200603.09125271533,73.0999984741211,6.262366666666667,46094.176222336624,73.0999984741211,,,,,,,,,,,,,6.287433333333333,216792.75196790497,73.0999984741211,1.0126533947887744
277,#278 75.0000@21.9756 MS1+,1,+,21.97558333333333,19980.09344516523,1273.982323981236,75.0,,,2.774047997977647e-07,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9758,4256.3884668765095,75.0,21.963116666666668,6990.133277419076,67.0,,,,21.9818,15225.165670622751,75.0,21.97558333333333,19980.09344516523,75.0,,,,,,,21.96955,17078.225170616002,73.0999984741211,21.98188333333333,4431.633599329682,67.0,,,,21.969483333333333,7466.029335987463,67.0,,,,21.975816666666667,10469.398044578178,73.0999984741211,21.97558333333333,8314.943512210735,75.0,,,,,,,21.97578333333333,21610.44953382133,73.0999984741211,21.96325,5151.677308033599,73.0999984741211,,,,,,,1.0160303418031915
231,#232 73.1000@14.1004 MS1+,1,+,14.100383333333331,41033.755169069336,1849.5426698976512,73.0999984741211,,,2.122796527448401e-07,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.112716666666667,12003.904635964718,73.0999984741211,,,,,,,,,,,,,14.094083333333334,5593.573678866553,73.0999984741211,14.100383333333331,41033.755169069336,73.0999984741211,14.1002,72015.66752673953,73.0999984741211,14.094066666666668,27097.63318914449,73.0999984741211,14.0878,57010.77183558844,73.0999984741211,14.093983333333334,30068.77072927308,73.0999984741211,14.094133333333334,57403.577418638655,73.0999984741211,14.0939,18977.421892595565,73.0999984741211,14.125283333333334,33421.85763574278,73.0999984741211,,,,,,,14.106583333333331,50701.22536890331,73.0999984741211,,,,,,,1.0300740920458824
216,#217 133.1000@27.7932 MS1+,1,+,27.7932,23086.73856544509,1450.8587093367153,133.10000610351562,,,4.1300296516055823e-14,133.10000610351562,,,,,,,,,,,,,27.79305,17224.45034360292,133.10000610351562,,,,,,,27.793133333333333,17467.15084941681,133.10000610351562,27.81825,23220.271048586397,133.10000610351562,27.8055,11160.934597297826,133.10000610351562,27.80555,17603.910914600594,133.10000610351562,,,,27.805599999999995,24131.860832906637,133.10000610351562,27.793166666666668,22801.45697349508,133.10000610351562,,,,27.81193333333333,16557.281557757684,133.10000610351562,27.80555,16549.146944054388,133.10000610351562,,,,,,,27.799333333333333,23898.02522518854,133.10000610351562,27.7744,34247.65467958059,133.10000610351562,27.76805,16946.339408736036,133.10000610351562,27.786916666666663,28884.7467025932,133.10000610351562,27.7744,30435.84904973017,133.10000610351562,27.7744,23486.468077887723,133.10000610351562,27.77423333333333,43049.63736515632,133.10000610351562,27.77423333333333,24483.1453068,133.10000610351562,27.774266666666666,40765.562949446496,133.10000610351562,,,,,,,27.78673333333333,28493.54431099177,133.10000610351562,27.78688333333333,31253.930947150628,133.10000610351562,27.793066666666668,24964.412274251637,133.10000610351562,27.768083333333333,27088.219376902736,133.10000610351562,27.799233333333333,21653.69806515152,133.10000610351562,27.793133333333333,27458.63028453238,133.10000610351562,,,,27.786816666666667,30938.594597961288,133.10000610351562,27.78055,28965.295152426814,133.10000610351562,27.7806,52190.8434986521,133.10000610351562,27.793016666666663,21493.733830793703,133.10000610351562,27.78065,22015.35136245427,133.10000610351562,27.81193333333333,23086.18998785064,133.10000610351562,27.7932,23086.73856544509,133.10000610351562,27.774483333333333,23461.639695443708,133.10000610351562,27.7807,21479.98775097623,133.10000610351562,27.7806,26789.06156180767,133.10000610351562,27.787,28635.14731076869,133.10000610351562,27.799433333333333,22193.27450024603,133.10000610351562,27.799366666666668,30914.09601588681,133.10000610351562,27.793033333333334,23116.54917468133,133.10000610351562,27.799316666666662,24122.63662480065,133.10000610351562,27.799466666666667,32349.64875956907,133.10000610351562,27.780466666666666,17476.746753423853,133.10000610351562,27.8118,24803.42475821109,133.10000610351562,27.793133333333333,22370.29532710163,133.10000610351562,27.78678333333333,19408.43020638853,133.10000610351562,27.79296666666667,17481.253145638737,133.10000610351562,,,,27.786916666666663,32896.746843892906,133.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0480217668951164
104,#105 73.1000@24.7592 MS1+,1,+,24.759216666666667,187179.2248998643,1656.2379189993108,73.0999984741211,,,1.0824094398564911e-08,75.0,24.72185,47840.46186801035,129.10000610351562,,,,24.727966666666667,34797.26252582426,73.0999984741211,24.72178333333333,48230.19205370277,129.10000610351562,,,,,,,24.709283333333328,49930.21010185976,73.0999984741211,,,,24.734383333333334,78567.75714823269,73.0999984741211,24.7279,57374.47337450253,129.10000610351562,24.72168333333333,59046.824987293,129.10000610351562,24.72813333333333,63877.74046395939,129.10000610351562,,,,24.715566666666668,58428.61568494074,73.0999984741211,24.746816666666668,18928.741834186803,73.0,24.73433333333333,77208.08686902227,129.10000610351562,24.727933333333333,87437.55229636152,73.0999984741211,24.72795,83413.43007166624,129.10000610351562,24.72168333333333,63194.93902646931,129.10000610351562,24.715466666666668,54903.88147325152,73.0999984741211,,,,,,,,,,24.790616666666665,9053.182378371595,129.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72808333333333,69330.70122332801,129.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.759416666666667,277904.63030421594,73.0999984741211,24.7655,281135.61361976457,73.0999984741211,,,,24.765416666666667,228530.3873425998,73.0999984741211,24.759183333333333,235929.6456691156,73.0999984741211,24.759216666666667,187179.2248998643,73.0999984741211,24.759366666666665,184141.1743266061,73.0999984741211,24.759416666666667,325537.6467826148,73.0999984741211,24.7655,225506.11661095964,73.0999984741211,24.765616666666663,196947.726463212,73.0999984741211,,,,,,,,,,24.7592,232062.782000524,73.0999984741211,,,,,,,,,,,,,,,,24.75935,211257.88327525675,73.0999984741211,1.0520297323089691
225,#226 73.1000@11.8796 MS1+,1,+,11.87955,23962.981861008757,747.9126852197596,73.0999984741211,,,5.0800100126480174e-08,73.0999984741211,11.892233333333332,22250.30854189105,73.0999984741211,11.879716666666669,14957.848861045102,73.0999984741211,11.892083333333334,9546.07060168661,73.0999984741211,11.89215,30929.716753231507,73.0999984741211,11.87955,23962.981861008757,73.0999984741211,11.87975,12185.11656206794,73.0999984741211,11.879666666666669,15302.11070802196,73.0999984741211,11.879633333333333,21016.90744001589,73.0999984741211,11.8985,31707.643811620303,73.0999984741211,11.898266666666666,12139.40182329317,73.0999984741211,11.892066666666668,10673.133888589951,73.0999984741211,11.892233333333332,12397.744940864097,73.0999984741211,11.892116666666668,10352.504960980805,73.0999984741211,11.885933333333334,23093.579929549396,73.0999984741211,,,,11.898433333333331,11750.478645704876,73.0999984741211,11.898316666666666,11328.898895941276,73.0999984741211,11.892066666666668,46357.53806832407,73.0999984741211,11.8983,8597.755249190795,73.0999984741211,11.885833333333334,19145.997423352783,73.0999984741211,11.879666666666669,16448.2230566984,228.1000061035156,11.873316666666666,23634.22634829623,73.0999984741211,11.8922,25298.082852905223,73.0999984741211,11.879666666666669,21770.40935347084,73.0999984741211,11.873416666666667,21190.692453882835,228.1000061035156,11.87325,21967.050393535672,228.1000061035156,11.87325,21775.66019173112,228.1000061035156,11.873283333333331,26466.73095244553,73.0999984741211,11.885866666666669,13578.553612572556,228.1000061035156,11.885916666666668,14482.979908973764,228.1000061035156,11.88575,29146.36782161449,73.0999984741211,11.87965,20654.568330880167,73.0999984741211,11.885833333333334,22848.569422317407,73.0999984741211,11.873366666666668,21782.637118750357,73.0999984741211,11.891983333333334,14627.112557522443,228.1000061035156,11.8859,12918.760422395588,228.1000061035156,11.885916666666668,20806.81815182476,73.0999984741211,11.885833333333334,15751.39126497272,228.1000061035156,11.879566666666667,20218.922771019046,73.0999984741211,11.879616666666667,21454.09981564805,73.0999984741211,11.892033333333334,10788.88054170059,73.0999984741211,11.885916666666668,12881.912362146744,73.0999984741211,11.89845,14400.345119486725,73.0999984741211,11.892216666666666,10314.558802488424,228.1000061035156,11.8735,21400.010390280426,73.0999984741211,11.885983333333334,22628.537558456097,73.0999984741211,11.879616666666667,24055.159097936197,73.0999984741211,11.886016666666666,16676.56185177552,73.0999984741211,11.879683333333332,21095.02343320026,73.0999984741211,11.885883333333334,19763.77391233477,73.0999984741211,11.87955,20592.668692718013,73.0999984741211,11.885816666666669,19726.59059461432,73.0999984741211,11.879716666666669,16210.602729010336,73.0999984741211,11.879483333333331,21645.334646322222,73.0999984741211,11.8983,21719.9694174381,73.0999984741211,11.8859,18234.83519906388,73.0999984741211,11.8858,16365.483213769185,73.0999984741211,11.885733333333333,18647.31849402962,73.0999984741211,11.879699999999998,20193.47668320361,73.0999984741211,11.879683333333332,23131.14654205565,73.0999984741211,,,,,,,11.892233333333332,17698.766523242695,73.0999984741211,11.873233333333332,23258.57946466828,73.0999984741211,,,,,,,11.87345,24601.98614032209,73.0999984741211,,,,11.879566666666667,19767.19384722148,73.0999984741211,,,,,,,,,,,,,11.873266666666666,22323.13699717581,73.0999984741211,,,,,,,,,,,,,,,,,,,1.0581372760652685
14,#15 73.1000@17.2466 MS1+,1,+,17.2466,3335075.307736693,71151.73304481147,73.0999984741211,,,6.02454850451295e-08,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.29055,2869290.289902471,73.0999984741211,,,,17.2841,3301855.9942842,73.0999984741211,17.2466,3335075.307736693,73.0999984741211,17.278033333333333,2868321.1345799547,73.0999984741211,17.19675,220966.56051155925,73.0999984741211,17.28415,3763824.9925173754,73.0999984741211,,,,,,,17.196616666666667,311819.1274133176,73.0999984741211,17.2906,3082870.9370794147,73.0999984741211,17.265333333333334,3227108.344741918,73.0999984741211,17.227916666666665,467815.2961392866,73.0999984741211,17.278,3639480.652416825,73.0999984741211,17.202983333333332,505771.5932636,73.0999984741211,,,,,,,17.196683333333333,270037.37373015657,73.0999984741211,1.0661680189764764
228,#229 73.1000@12.2425 MS1+,1,+,12.242483333333332,43295.15512313301,1255.0929942855414,73.0999984741211,,,2.2334968319270846e-08,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.248633333333334,21201.094434181978,73.0999984741211,,,,,,,12.242333333333333,59133.42188172047,73.0999984741211,12.248616666666669,29362.80643059651,73.0999984741211,,,,,,,12.248633333333334,32141.257441424237,73.0999984741211,12.2425,44346.39446117848,73.0999984741211,12.242483333333332,28454.67774679322,73.0999984741211,12.242416666666667,24840.85088112679,73.0999984741211,12.242566666666669,31006.284480216025,73.0999984741211,,,,,,,12.24875,6041.690155455748,73.0999984741211,12.248783333333334,6606.208117217051,73.0999984741211,12.23625,12016.279228224274,73.0999984741211,,,,12.242483333333332,43295.15512313301,73.0999984741211,1.0788036693944967
32,#33 147.1000@9.5277 MS1+,1,+,9.52765,821533.8974484585,30049.770102664035,147.10000610351562,,,5.546048065241392e-10,147.10000610351562,9.527716666666668,943611.1902337052,147.10000610351562,9.490183333333333,841330.2828668865,147.10000610351562,9.49005,458686.235854106,147.10000610351562,9.52765,821533.8974484585,147.10000610351562,,,,,,,9.496383333333334,484220.4979881215,147.10000610351562,9.515133333333331,1133913.250708886,147.10000610351562,9.5465,1507508.3766554568,147.10000610351562,9.502483333333334,1041871.4382574464,147.10000610351562,9.502533333333334,687344.8884780047,147.10000610351562,9.534,1234217.61197895,147.10000610351562,9.5276,1457375.8984292052,147.10000610351562,9.521433333333333,883799.439485648,147.10000610351562,,,,9.508916666666666,825632.4836099299,147.10000610351562,9.508783333333334,560789.1369794963,147.10000610351562,9.51505,635792.9735626713,147.10000610351562,9.496266666666669,610500.2244597872,147.10000610351562,9.508816666666666,793508.435730457,147.10000610351562,9.540183333333331,1263449.2984714184,147.10000610351562,9.55885,1863711.348767407,147.10000610351562,9.5402,1149911.8563580506,147.10000610351562,9.515166666666667,1120357.2155453144,147.10000610351562,9.533933333333334,1080262.2930070322,147.10000610351562,9.533766666666668,1371470.3501388913,147.10000610351562,9.552533333333333,1268544.021657321,147.10000610351562,9.5776,1947609.419460333,147.10000610351562,9.5589,1734725.2970919455,147.10000610351562,9.5214,1057611.9859869848,147.10000610351562,,,,9.552666666666669,869722.4881719623,147.10000610351562,9.54635,1359053.1385262103,147.10000610351562,9.5589,1273862.485759138,147.10000610351562,9.54,995563.0256857564,147.10000610351562,9.5464,206802.03184544237,147.10000610351562,9.533916666666666,946821.1365462112,147.10000610351562,9.527583333333334,884140.9981742364,147.10000610351562,9.521316666666667,824635.34029564,147.10000610351562,9.5589,1448477.8424005096,147.10000610351562,9.5463,1091463.406870382,147.10000610351562,9.527666666666669,1140844.6005492508,147.10000610351562,9.5402,804819.8244480267,147.10000610351562,9.521466666666669,789185.7875444979,147.10000610351562,9.509,685200.4312653572,147.10000610351562,9.540233333333331,579565.7568652022,147.10000610351562,9.540133333333332,908106.8224717455,147.10000610351562,9.559033333333334,1572535.1776915253,147.10000610351562,9.558966666666668,1713822.5005447248,147.10000610351562,9.533883333333334,1316350.8363768847,147.10000610351562,9.5338,1421758.4679963177,147.10000610351562,9.521316666666667,198387.09848099737,147.10000610351562,9.571516666666666,1811876.8459644583,147.10000610351562,9.53375,114358.16724965672,147.10000610351562,9.558816666666669,850274.5477439177,147.10000610351562,9.5339,741648.6279136895,147.10000610351562,9.483766666666666,555529.9527843712,147.10000610351562,9.533733333333334,725834.7062437916,147.10000610351562,9.502683333333334,689868.7225511081,147.10000610351562,9.54645,1342917.3805797405,147.10000610351562,,,,,,,,,,,,,9.50875,1410355.1685990803,147.10000610351562,,,,9.540216666666668,619768.9558877293,147.10000610351562,,,,,,,,,,,,,,,,,,,,,,9.5464,377469.88144448726,147.10000610351562,,,,,,,,,,,,,,,,1.0798736344213176
167,#168 73.1000@26.4546 MS1+,1,+,26.45455,93436.78314231214,5695.647601727355,73.0999984741211,,,1.8861590844743148e-08,73.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.45443333333333,23654.414465522044,73.0999984741211,,,,26.45435,12652.877767792612,73.0999984741211,,,,26.4544,109604.79216119024,73.0999984741211,26.45455,93436.78314231214,73.0999984741211,26.44835,113066.80618452332,73.0999984741211,,,,26.45455,36269.17771822904,73.0999984741211,26.45453333333333,39139.289822401246,73.0999984741211,,,,26.454616666666663,80830.32295837719,73.0999984741211,26.44813333333333,23350.44440596804,73.0999984741211,26.479516666666665,34643.2619704784,73.0999984741211,26.44203333333333,104195.85214330308,73.0999984741211,,,,26.45455,18704.98919519217,73.0999984741211,,,,26.44828333333333,67181.48102039337,73.0999984741211,1.088320274265722
