I-1.mzXML height,I-10.mzXML height,I-11.mzXML height,I-12.mzXML height,I-13.mzXML height,I-14.mzXML height,I-15.mzXML height,I-16.mzXML height,I-17.mzXML height,I-18.mzXML height,I-19.mzXML height,I-2.mzXML height,I-20.mzXML height,I-21.mzXML height,I-22.mzXML height,I-3.mzXML height,I-4.mzXML height,I-5.mzXML height,I-6.mzXML height,I-7.mzXML height,I-8.mzXML height,I-9.mzXML height,J-67.mzXML height,J-68.mzXML height,J-69.mzXML height,J-70.mzXML height,J-71.mzXML height,J-72.mzXML height,J-73.mzXML height,J-74.mzXML height,J-75.mzXML height,J-76.mzXML height,J-77.mzXML height,J-78.mzXML height,J-79.mzXML height,J-80.mzXML height,J-81.mzXML height,J-82.mzXML height,J-83.mzXML height,J-84.mzXML height,J-85.mzXML height,J-86.mzXML height,J-87.mzXML height,J-88.mzXML height,Li-23.mzXML height,Li-24.mzXML height,Li-25.mzXML height,Li-26.mzXML height,Li-27.mzXML height,Li-28.mzXML height,Li-29.mzXML height,Li-30.mzXML height,Li-31.mzXML height,Li-32.mzXML height,Li-33.mzXML height,Li-34.mzXML height,Li-35.mzXML height,Li-36.mzXML height,Li-37.mzXML height,Li-38.mzXML height,Li-39.mzXML height,Li-40.mzXML height,Li-41.mzXML height,Li-42.mzXML height,Li-43.mzXML height,Li-44.mzXML height,Lu-101.mzXML height,Lu-102.mzXML height,Lu-103.mzXML height,Lu-104.mzXML height,Lu-105.mzXML height,Lu-106.mzXML height,Lu-107.mzXML height,Lu-108.mzXML height,Lu-109.mzXML height,Lu-110.mzXML height,Lu-89.mzXML height,Lu-90.mzXML height,Lu-91.mzXML height,Lu-92.mzXML height,Lu-93.mzXML height,Lu-94.mzXML height,Lu-95-rerun2.mzXML height,Lu-96.mzXML height,Lu-97.mzXML height,Lu-98.mzXML height,Lu-99.mzXML height,M-45.mzXML height,M-46.mzXML height,M-47.mzXML height,M-48.mzXML height,M-49.mzXML height,M-50.mzXML height,M-51.mzXML height,M-52.mzXML height,M-53.mzXML height,M-54.mzXML height,M-55.mzXML height,M-56.mzXML height,M-57.mzXML height,M-58.mzXML height,M-59.mzXML height,M-60.mzXML height,M-61.mzXML height,M-62.mzXML height,M-63.mzXML height,M-64.mzXML height,M-65.mzXML height,M-66.mzXML height
8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,6676063.211,,8388096,7503543.5,8388096,8388096,6792311.381,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,,8388096,8388096,8388096,8388096,8147198.977,8388096,8388096,,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8218653.413,8388096,8388096,8388096,8388096,8388096,8388096,7591310,,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,7735141,8388096,,,8388096,8388096,,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8079206.709,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,,8388096
8388096,7299395,8388096,7645721.825,5985733.5,8388096,6892892.639,8388096,8388096,8388096,6512466,8388096,6641943.488,8388096,7496072.117,8388096,6883728.939,7359669,8388096,8388096,6791806,6385956.987,8388096,8388096,8388096,3538704.926,8388096,6108690.554,8388096,6442666.942,6273432,8388096,4979860.653,3304580,3973925.25,8388096,8388096,8388096,5235091.5,6532163.565,4890149,8388096,5085579,8388096,7102913.5,8388096,8388096,8388096,8388096,8388096,6711946.5,8388096,6698372.5,5048485.5,8388096,4487934.5,6444185,8388096,8388096,6297921,8388096,5484020.757,6541045.93,5208625,6777803,6606876,7521956,8388096,8388096,8388096,7822297.5,8047008,8388096,8388096,8388096,8388096,8388096,8388096,8388096,7954736.5,8388096,8388096,8388096,7153518.5,5647564,8198242.5,8388096,4890264,,5754566.5,6737610.5,5901509.5,6338423.5,5634597.5,8202082,,6579629,8388096,,8388096,,6386907.5,8388096,8388096,8388096,1040741.317,7703344.5,,8388096
8388096,3855101.531,4393831.167,,8388096,4661002.781,8388096,8388096,,8388096,6284650,5188082.5,8388096,3992483.432,,7649991.911,4386728.129,8388096,8388096,5179143,5269804.5,7367195.24,,4785577.457,8225690.731,5043153,8388096,,,8388096,7152310.923,4225055,8388096,8388096,,4589490.264,,8353777.108,5906004.695,8388096,5077278,,5434509,4870763.766,6430644.078,8388096,8388096,,6227321.499,,7737318.846,8219936.092,5528404.372,8388096,5872782.082,7989654.246,,,8388096,4554474.149,,8388096,,8388096,8251264.761,8388096,,8388096,8388096,6627087.5,8388096,5176523,5383800.5,,4340265.5,8388096,4385013.184,8388096,,4461482.176,,,7337606.963,,,7936611.347,,4781550.779,6215553,5803524,7543782.088,6147022,,5725115,8388096,,3638344.74,8388096,,8388096,,6082276,,5680346,5543408.293,,8388096,,5515918.46
6237481.5,8388096,8388096,5375915.5,8388096,1574439.75,7903541,8388096,8388096,8388096,8388096,8388096,8388096,7381962,4066842.5,6761928.5,8388096,8388096,2871747.75,8388096,4828359.5,8388096,8388096,8388096,8388096,8388096,3303905.5,8388096,6320227.182,6463799,8388096,,7586381,4539426,6113945,7219696.99,6007343,6023503.5,8359825.278,6835433.736,7973416.345,4173419.575,6442514.956,7186109,8388096,8388096,8388096,7787212.5,8388096,8388096,8388096,5958184,8388096,6660113.285,8388096,8388096,8388096,8388096,6590938,8388096,8388096,8388096,8388096,8388096,8388096,7157116,8388096,8388096,8388096,4849579.5,8388096,8388096,8388096,8117842.5,8388096,8110888.5,7247828.5,8388096,8388096,8388096,8388096,3219147.25,8388096,5255480,,2097072.995,8388096,1420940.393,968460.6875,1086952,1670860.75,851401.1717,1188976.109,612863.75,1069773.125,975760.25,,917728.244,435019.6205,1309183,,582799.1643,1164045.838,1817531.219,2588306.5,2151546,332291.6563,,1435643.875
,8388096,8388096,6616207.5,8388096,2908955.5,8038600.479,8388096,8388096,8388096,8388096,8388096,8388096,8388096,5950309.5,7508360,8388096,8388096,5093477,8388096,8388096,8388096,7270037.5,8208299.5,8388096,8388096,8388096,6849958.12,7461410,7429686.201,7445422.5,3214035.25,5775796,4277995.5,5028131,6664606,4583994,5337240.314,8388096,7431786.5,7367133.432,4278932.469,6984829,8388096,7111025.5,7521949.944,8388096,6233052.5,8388096,6711454.619,8388096,5585437.5,8388096,5423843.5,7491481.082,7731996.513,6514020.5,8388096,8388096,8388096,6027997.97,8337451.523,8388096,8388096,6453938,7783410.5,8388096,6048459,4718387,839743.471,6144840.5,5242770.5,6259624,5401667.5,4765177.451,5169964,5218243.5,5996148.5,5211888.5,8388096,6043624.5,6461859,8388096,4620183.5,,8388096,8388096,4526422,3369720.478,7032053.5,7428181,2474138,6453953.5,2709941.75,,3331010.891,239335.2656,6619891,,7894660.5,,6641034,1854916.091,6097519.5,2379463.946,1248506.398,2121160.25,,6718105.5
7154727.538,8388096,4078720.75,8388096,8388096,8388096,8388096,8388096,8388096,4732055,4772454,4439038,8388096,8388096,4596617.5,8388096,4452738,4494051,4335622.5,8388096,8388096,8388096,6506740.276,4677059.5,8388096,8388096,4669654.5,7903550.701,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,4795268.5,6923006.653,7276518.573,4861057,8388096,8388096,8388096,7911799.813,8388096,8388096,,8388096,8388096,2681159.838,8388096,3343155.269,4962412,4822346.5,8388096,4745261.5,4247023,,8388096,8388096,8388096,8388096,8388096,3467432.555,4367027.5,3749445.886,8388096,4269115,4347664.5,8388096,4242736,8388096,7583431.582,8388096,4210166,8388096,8388096,7951058.632,2190496,7959277.254,4018296.75,,8388096,8388096,4430124.5,8388096,8388096,3330619.985,8388096,8388096,8388096,8388096,8388096,8388096,8388096,3696904.294,4328562.5,4258211.5,4181701.5,4232533,3623139.588,8388096,8388096,8388096,,4183566
1357855.375,8388096,1161583.75,2314606.5,1675677.037,2556081.25,3440080.125,5887076.254,1981304.125,1399052,1167196.058,2681877.5,3438310.25,1946171.875,7633374.189,2171018.25,1415100.25,3414043.25,8388096,4773123.326,1466849.25,6259499.5,2259036.25,2315352.75,3864543.5,2240616.871,462933.7416,862805.5625,1345154.25,2924556.5,2227448.75,1812797.375,2480983.25,1082821.625,2616415,7795313,3422422.5,1261461.375,4293211,841117.5,1809340.125,2954746.25,3512452.25,1144615.375,3365952.5,8388096,8361693,8347231.329,7073893.5,8388096,3907597.75,8388096,7828533.161,8388096,5339765.611,8388096,8388096,,8388096,8388096,,,,,8388096,8388096,5725367,6032387,8388096,5352287.5,5717529,4247735.5,4254606.322,4025618,4949186,4537392.01,8388096,3286318.824,4112914.25,3821653.75,,620419.4375,1451500.75,3777565.25,189522.3466,398352.0201,8180111,2295628,1889857.5,1950428.375,2033952.751,1800129.625,1230262,1966500.5,1579411,8388096,8388096,2693176.355,4507063,8334450.5,4250368.5,2670552.5,4086989.5,7245783.5,2864579.462,2934973.982,4810768,,2788069.731
6085680.273,8388096,8388096,,7597381.543,8388096,,7477124.623,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,,8388096,8388096,8388096,,,8388096,8388096,8388096,8388096,8388096,8388096,8165265.5,8388096,8388096,6903255.785,,8388096,8388096,7483369.545,8388096,8388096,,8388096,8388096,,6000597.572,6250858.557,7236982.189,4036354.75,5872957,5117405,7017965,8388096,5681418.5,8388096,3751561.662,7564943.787,6276770.5,8388096,6435360,8388096,7996344.391,8388096,4481253.5,8388096,8388096,8388096,,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,4814113.5,8388096,8388096,8388096,8388096,8388096,,8388096,4093621.5,8388096,8388096,3010516,6747160,5037493.5,2600899.5,2891491.75,3478764.75,2394198.611,2251143.25,,,3570651,,5415960.5,2759025.75,2498831.233,3088153,,4520600,3517994,,,2915307
7506096.938,8388096,8388096,8388096,8388096,8248803.5,8113501,6775513.629,6960656.5,8388096,8388096,6708207,8388096,8388096,8388096,7394331.977,8155442,7193974.5,7160612.94,7522987.556,7012088.5,8388096,8388096,8388096,8388096,8388096,8388096,8132711,8388096,8388096,8388096,8072422,8385504.98,7871323.5,7563110,7209920.5,7727447.5,7311087.5,8388096,8388096,8388096,8388096,7254011.5,8388096,8388096,8388096,8388096,8388096,8388096,8388096,7731400,7898246.755,7298963.5,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,7908668,7195142,8388096,7216015.5,7974632.036,7242490.5,8388096,5916019.394,6620385,7241639.524,8019263.5,5634892,7390118,7307058.897,1805162.25,8388096,7908329,464150.3843,6535573,8055847,5581220,6787490.5,7413243.226,7262169.5,7772551,7084351,6054072,4835181,6300470,6285763,7040162.5,8363946,6787775,5638804,4965377.784,5281473,6446902.5,7356629,6545743.5,4894700.067,,7289687
6762877.5,8388096,8388096,6814462.5,8388096,6662204,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,6441026,8138933.939,8388096,8217564,5904811.547,8388096,8388096,8388096,8388096,,7716455,8388096,8388096,8388096,7575688.829,8388096,8388096,4713288.5,8388096,8388096,7626923.537,8388096,8388096,7768475,8388096,8388096,8388096,8388096,7652799.5,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,8388096,7420497.345,8388096,8388096,8388096,8388096,7097328,8388096,8388096,8388096,8388096,4101783.75,5265294.873,8388096,,8388096,8388096,2707625,,2944392.438,2500948.75,2519603,,2506962.5,2126524.424,,2782429.5,3331707.5,2446417,2014114.19,2585712.75,2323771.75,2956155.5,2500893.502,4052121.5,2430374.25,2525431,,
